severity,frequency,resolution_time,module,impact_score
4.0,8.0,10.265398692912612,4.0,7.079619607873783
3.0,3.0,8.456457041030072,4.0,4.636937112309022
2.0,1.0,2.339820964186644,1.0,1.8019462892559932
5.0,6.0,,5.0,7.5993057590097814
1.0,1.0,1.4252907923866005,1.0,1.1275872377159801
2.0,7.0,6.62572423767792,4.0,4.8877172713033765
3.0,13.0,-1.4825346801381452,4.0,4.655239595958556
1.0,4.0,1.822267878729345,1.0,2.1466803636188034
2.0,1.0,1.8339390916489346,2.0,1.6501817274946804
4.0,4.0,15.926189506920325,5.0,7.577856852076097
2.0,,6.699204194042049,4.0,5.509761258212615
2.0,14.0,6.094194762340075,4.0,
2.0,11.0,7.533822298373245,2.0,6.360146689511973
2.0,13.0,8.26482260786327,2.0,7.179446782358982
2.0,2.0,3.1581866529320277,2.0,2.347455995879608
2.0,12.0,9.244312394025266,4.0,7.17329371820758
2.0,17.0,16.994746758407167,5.0,10.99842402752215
2.0,3.0,1.1017920605443217,3.0,2.0305376181632964
4.0,7.0,17.956180695537917,4.0,9.086854208661375
1.0,4.0,1.7928341098954257,1.0,2.1378502329686278
2.0,11.0,7.326327504309919,3.0,
4.0,4.0,15.544254240984612,3.0,7.463276272295383
2.0,5.0,5.234654766617564,2.0,3.870396429985269
1.0,1.0,1.5896166913136995,3.0,1.1768850073941097
2.0,12.0,3.3420099781558554,2.0,
1.0,3.0,1.3765226050150399,1.0,1.7129567815045117
2.0,9.0,6.627019272001277,3.0,5.4881057816003835
2.0,6.0,4.443428257147543,5.0,3.9330284771442625
5.0,3.0,8.688427684337148,5.0,5.506528305301144
2.0,12.0,2.9512247173314203,3.0,5.285367415199426
4.0,3.0,10.722559969865367,,5.71676799095961
,14.0,8.172033632290704,2.0,7.451610089687211
4.0,6.0,2.2041244389825874,1.0,4.061237331694776
3.0,13.0,5.042007683265518,2.0,6.612602304979655
2.0,4.0,1.5785017796601164,1.0,2.473550533898035
4.0,9.0,11.97520344130451,3.0,7.892561032391352
4.0,12.0,14.88648202886924,3.0,9.665944608660771
5.0,,5.076507584937731,4.0,5.622952275481319
3.0,6.0,,4.0,4.108002460455773
2.0,,18.66105374070869,4.0,9.698316122212606
2.0,2.0,2.3381812519933196,3.0,2.1014543755979957
2.0,2.0,5.372296253626673,2.0,3.0116888760880016
2.0,2.0,2.7437112837712267,3.0,2.223113385131368
3.0,9.0,7.19755370397438,4.0,6.059266111192314
5.0,3.0,16.612980745713823,5.0,7.883894223714147
1.0,2.0,1.5731312059602771,1.0,1.4719393617880832
1.0,1.0,2.003937304431403,2.0,1.301181191329421
2.0,9.0,3.821270486111577,3.0,4.646381145833473
5.0,7.0,12.80053767669369,4.0,7.940161303008106
2.0,,1.2246638940430559,3.0,2.0673991682129165
4.0,6.0,18.064933291735585,3.0,8.819479987520674
5.0,4.0,16.387614471238063,1.0,8.116284341371419
5.0,6.0,11.565485343644578,4.0,7.269645603093373
3.0,10.0,4.031531854267497,4.0,5.409459556280249
2.0,10.0,6.176634412969153,3.0,
2.0,6.0,3.036982697904098,2.0,3.511094809371229
2.0,5.0,7.064930521102294,2.0,4.419479156330688
3.0,14.0,2.4782320913299096,4.0,6.143469627398973
2.0,3.0,2.4529363265335093,1.0,2.4358808979600526
3.0,10.0,2.524369002346302,3.0,4.957310700703891
2.0,14.0,4.739713891264631,3.0,6.42191416737939
1.0,2.0,19.80924441540896,1.0,6.942773324622688
4.0,4.0,11.50835477379418,5.0,6.2525064321382535
2.0,14.0,,4.0,6.075398320628731
4.0,5.0,10.630765445502403,5.0,6.289229633650721
5.0,,,3.0,6.318447417602398
3.0,7.0,3.799566245682411,2.0,4.4398698737047235
3.0,8.0,5.614599041753219,2.0,5.284379712525966
2.0,4.0,3.4954342528834736,1.0,3.048630275865042
3.0,7.0,3.1461390568438343,3.0,4.243841717053151
5.0,6.0,14.141967239900818,4.0,8.042590171970245
3.0,7.0,4.958196812071704,,4.787459043621512
1.0,1.0,,5.0,5.654616804987989
5.0,19.0,15.081292336511122,1.0,12.224387700953336
1.0,4.0,3.405205305878188,3.0,2.6215615917634567
2.0,6.0,12.317136071549042,3.0,6.295140821464712
2.0,1.0,2.9035324906258424,3.0,1.971059747187753
4.0,5.0,11.451688715832589,4.0,
2.0,3.0,2.2571168700562794,1.0,2.377135061016884
4.0,9.0,12.459445872855582,4.0,8.037833761856675
4.0,7.0,11.778060166809306,4.0,7.233418050042792
2.0,14.0,4.6964298099288335,4.0,6.40892894297865
4.0,9.0,3.3165366874783597,5.0,5.294961006243508
,3.0,7.5949923806115525,5.0,5.178497714183465
1.0,1.0,1.0569431915327376,2.0,1.0170829574598212
4.0,7.0,7.918467010951381,5.0,6.075540103285414
4.0,4.0,11.941126965460253,5.0,6.3823380896380755
3.0,14.0,6.6508326979760595,4.0,7.395249809392818
5.0,8.0,20.189595684520953,3.0,10.456878705356285
5.0,13.0,7.817779198346547,1.0,8.245333759503964
1.0,4.0,1.9814491954883597,3.0,2.194434758646508
5.0,3.0,10.053142015829003,5.0,5.9159426047487
1.0,1.0,2.477754099433527,,1.443326229830058
4.0,7.0,5.341227215219969,5.0,5.302368164565991
2.0,1.0,0.9274681655643424,1.0,1.3782404496693028
5.0,8.0,17.777355167927244,4.0,9.733206550378174
5.0,4.0,10.938243070613268,2.0,6.481472921183981
3.0,14.0,4.22937280627648,3.0,6.6688118418829445
1.0,13.0,3.36164724622535,4.0,5.308494173867604
3.0,14.0,5.648332704976884,3.0,7.0944998114930655
2.0,12.0,7.8825465781322315,4.0,
2.0,,19.33551130266374,,12.300653390799122
1.0,2.0,2.8943323301087616,3.0,1.8682996990326286
5.0,8.0,2.190941594737067,4.0,5.05728247842112
2.0,12.0,3.6556751558995004,3.0,5.49670254676985
1.0,4.0,1.7433698173074457,1.0,2.1230109451922337
1.0,3.0,2.673125502773975,3.0,2.101937650832192
2.0,4.0,1.2107416713020798,3.0,2.363222501390624
1.0,4.0,2.214938830094755,2.0,2.2644816490284265
3.0,12.0,7.55532979157685,3.0,7.066598937473055
3.0,12.0,4.013998130682334,2.0,
1.0,2.0,1.7878385782883734,2.0,1.5363515734865119
2.0,6.0,4.8809492878764,3.0,4.0642847863629195
3.0,11.0,5.924206948526542,3.0,6.277262084557963
2.0,,6.799199750866501,3.0,5.8397599252599495
2.0,3.0,2.773140855889249,1.0,2.531942256766775
2.0,3.0,3.3718621335497767,1.0,2.7115586400649327
2.0,9.0,3.7546009603588124,2.0,4.626380288107644
,6.0,,3.0,4.548376163073956
5.0,10.0,9.790915927722523,5.0,7.937274778316757
3.0,5.0,5.2614811545721825,2.0,4.278444346371655
5.0,4.0,10.837230767875827,3.0,6.451169230362748
4.0,3.0,12.679891611629234,3.0,6.30396748348877
1.0,3.0,1.5673907194519867,2.0,1.7702172158355958
3.0,19.0,9.959947582453008,3.0,9.887984274735903
2.0,10.0,5.227034690502496,4.0,5.368110407150748
4.0,15.0,5.838172440511514,,7.851451732153453
5.0,,9.763898027064572,4.0,5.8291694081193715
5.0,8.0,,5.0,8.396840668476719
4.0,1.0,11.914989150418325,5.0,5.4744967451254976
,14.0,4.56463759354556,3.0,6.369391278063668
1.0,6.0,13.948551722254656,5.0,6.384565516676396
3.0,11.0,4.595614695132212,3.0,5.878684408539663
2.0,10.0,5.39811939114694,3.0,5.419435817344082
2.0,4.0,2.3455179438887663,2.0,2.70365538316663
2.0,14.0,6.5492681068586736,2.0,6.9647804320576014
4.0,5.0,6.7261796091187,5.0,5.117853882735609
2.0,4.0,0.5812495414085972,1.0,2.174374862422579
4.0,9.0,11.698785380979507,5.0,7.8096356142938514
2.0,14.0,6.22074053086693,4.0,6.866222159260079
1.0,4.0,2.1755532939548328,1.0,2.25266598818645
3.0,6.0,5.020466122039174,4.0,4.506139836611752
2.0,1.0,3.3840157189326785,3.0,
,3.0,2.8347954192304283,2.0,2.1504386257691284
3.0,5.0,4.379466486813088,3.0,4.013839946043927
2.0,4.0,2.767296838706404,1.0,2.8301890516119212
2.0,2.0,,2.0,1.8396750638979484
2.0,2.0,3.2737336201395557,3.0,2.3821200860418665
2.0,3.0,2.01900033106215,3.0,2.3057000993186447
1.0,4.0,2.3145128958631718,2.0,2.2943538687589515
4.0,7.0,18.16548398767273,4.0,9.149645196301819
2.0,5.0,9.266066749312532,2.0,5.07982002479376
3.0,14.0,4.494863697213679,4.0,6.748459109164104
,4.0,13.037557235998776,3.0,6.7112671707996325
2.0,11.0,6.259257683847224,4.0,5.9777773051541665
,7.0,16.106319386208312,3.0,8.931895815862493
3.0,10.0,7.784651506983806,4.0,6.535395452095142
1.0,4.0,1.992619850055427,,2.197785955016628
2.0,1.0,1.6044835484197066,1.0,1.581345064525912
2.0,11.0,3.395912240318792,4.0,24.162711557982664
4.0,26.0,15.925070010631835,4.0,9.491839064327978
3.0,5.0,27.068123896180825,1.0,29.41913955140667
4.0,5.0,23.692062812354198,1.0,18.45456609945334
3.0,22.0,7.607430108750189,1.0,17.89025708801015
3.0,8.0,29.303734638364983,2.0,22.69412220345643
4.0,10.0,20.353161543346424,2.0,24.54132385461399
3.0,6.0,1.302403282524689,2.0,20.037879612613576
